code,description,price,unit,bundle,minimum_sale
PAL007,PALUSTRA METAL LISA M/PLASTICO BUFFALO,"0,00",PZA,60,60
PIE006,PIEDRA TALADRO 10 PZAS (5X6MM 5X3 MM) FX024 BUFFALO,"79,86",JGO,72,72
PIE003,PIEDRA TALADRO 5 PZAS X 3 MM FX027 BUFFALO,"0,00",JGO,120,120
PIE004,PIEDRA TALADRO T/TROMPO 50 PZAS X 6MM BUFFALO,"552,92",JGO,20,10
PIS001,"PISTOLA SILICON 9"" C/CREMALLERA BUFFALO","0,00",PZA,24,48
PRO010,PROBADOR TENSION 2 PATAS 110 V BUFFALO,"0,00",PZA,1000,200
RAS003,RASTRILLO METAL 14 DIENTES X 4MM C/CABO BUFFALO,"0,00",JGO,50,50
RAS002,RASTRILLO METAL 14 DIENTES X 4MM S/CABO BUFFALO,"0,00",PZA,50,50
REG022,REGLETA 6 TOMAS PROTECTOR PICOS 90 JOULES UL GREENHOUSE,"0,00",PZA,24,72
ROD020,"RODILLO MINI 2"" CON 2 FUNDAS GOMA ESPUMA AMARILLA RADIANT","0,00",JGO,250,250
ROD030,"RODILLO MINI 3"" CON 2 FUNDAS GOMA ESPUMA AMARILLA RADIANT","0,00",JGO,250,250
RUE010,"RUEDA NEUMATICA 10"" CON TRIPA EJE 3/4 RIM ROJO BUFFALO","0,00",PZA,25,25
SIF004,SIFON PLASTICO TELESCOPICO FREGADERO/LAVAMANOS  BUFFALO,"0,00",PZA,50,50
TEF027,"TEFLON PROFESIONAL 1/2 X 0,1MM X 10 MTS DUFLON","0,00",PZA,1000,1000
TEF026,"TEFLON PROFESIONAL 3/4 X 0,2 MM X 15 MTS DUFLON","0,00",PZA,400,400
TIJ003,"TIJERA CORTAGRAMA 12"" PROFES. ACERO N. 45 BUFFALO","0,00",PZA,24,24
TRI010,"TRIPA RUEDA NEUMATICA 10"" VALVULA CURVA BUFFALO","0,00",PZA,100,100
VID001,VIDRIO SOLDAR  N.10 AULEKTRO  DIN 8-14,"0,00",PZA,400,400
VID003,VIDRIO SOLDAR N. 12 AULEKTRO DIN 8-14,"0,00",PZA,400,400
VID002,VIDRIO SOLDAR N.11 AULEKTRO DIN 8-14,"6,87",PZA,400,400
